ProvinceName,KabupatenName,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
BANTEN,KOTA CILEGON,PURWAKARTA,14434,8388,22822
BALI,JEMBRANA,NEGARA,18440,26407,44847
BALI,TABANAN,TABANAN,12549,34325,46874
BALI,JEMBRANA,MENDOYO,9256,26555,35811
BALI,TABANAN,KEDIRI,16087,34102,50189
BANTEN,KOTA TANGERANG SELATAN,SERPONG,34215,38978,73193
BALI,TABANAN,PUPUAN,6225,21677,27902
BALI,TABANAN,MARGA,8134,21654,29788
BANTEN,KOTA SERANG,CIPOCOK JAYA,26411,16768,43179
BALI,BADUNG,ABIANSEMAL,16355,40988,57343
BANTEN,KOTA TANGERANG SELATAN,PONDOK AREN,76335,78592,154927
BALI,TABANAN,SELEMADEG,2096,13427,15523
BALI,TABANAN,KERAMBITAN,8241,20049,28290
BANTEN,KOTA TANGERANG SELATAN,SERPONG UTARA,28053,37231,65284
BALI,JEMBRANA,JEMBRANA,10305,21480,31785
BANTEN,KOTA TANGERANG SELATAN,SETU,21305,17609,38914
BANTEN,KOTA TANGERANG SELATAN,CIPUTAT,50840,55410,106250
BALI,TABANAN,SELEMADEG TIMUR,4196,11969,16165
BALI,BADUNG,PETANG,6285,12191,18476
BALI,KLUNGKUNG,NUSA PENIDA,12150,15767,27917
BALI,TABANAN,SELEMADEG BARAT,4062,10490,14552
BALI,GIANYAR,UBUD,9296,33929,43225
BALI,KLUNGKUNG,KLUNGKUNG,10963,22422,33385
BALI,GIANYAR,BLAHBATUH,9542,28930,38472
BALI,BADUNG,KUTA SELATAN,15350,32360,47710
BALI,BADUNG,MENGWI,21692,52545,74237
BALI,BADUNG,KUTA,6269,18968,25237
BALI,KLUNGKUNG,BANJARANGKAN,6850,16632,23482
BALI,GIANYAR,SUKAWATI,11333,47388,58721
BALI,GIANYAR,TEGALALLANG,8193,25905,34098
BALI,BANGLI,BANGLI,9187,22608,31795
BALI,BADUNG,KUTA UTARA,12115,32165,44280
BALI,GIANYAR,TAMPAKSIRING,5717,25216,30933
BALI,KARANGASEM,RENDANG,8907,14686,23593
BALI,GIANYAR,GIANYAR,13280,40808,54088
BALI,KARANGASEM,ABANG,10958,25620,36578
BALI,GIANYAR,PAYANGAN,6592,20949,27541
