#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
26141,JAWA BARAT,28573,CIAMIS,28597,CIJEUNGJING,20137,10517,30654
26141,JAWA BARAT,28573,CIAMIS,28909,SINDANGKASIH,17694,9266,26960
26141,JAWA BARAT,28573,CIAMIS,28919,BAREGBEG,14128,10411,24539
26141,JAWA BARAT,28573,CIAMIS,28728,RANCAH,18807,14138,32945
26141,JAWA BARAT,28573,CIAMIS,28702,JATINAGARA,8632,5310,13942
26141,JAWA BARAT,28960,KUNINGAN,29206,CIGUGUR,15165,11091,26256
26141,JAWA BARAT,28960,KUNINGAN,28961,KADUGEDE,8638,6066,14704
26141,JAWA BARAT,28573,CIAMIS,28742,TAMBAKSARI,4711,9111,13822
26141,JAWA BARAT,28960,KUNINGAN,29273,CIMAHI,5934,8582,14516
26141,JAWA BARAT,28573,CIAMIS,28661,KAWALI,15345,8295,23640
26141,JAWA BARAT,28960,KUNINGAN,29237,CIPICUNG,6167,6571,12738
26141,JAWA BARAT,28573,CIAMIS,28954,MANGUNJAYA,7900,9041,16941
26141,JAWA BARAT,28573,CIAMIS,28652,PANJALU,15200,7271,22471
26141,JAWA BARAT,28573,CIAMIS,28749,LAKBOK,10546,17619,28165
26141,JAWA BARAT,28573,CIAMIS,28721,SUKADANA,7465,6769,14234
26141,JAWA BARAT,28573,CIAMIS,28709,RAJADESA,18742,7839,26581
26141,JAWA BARAT,28960,KUNINGAN,29292,HANTARA,3871,3643,7514
26141,JAWA BARAT,28960,KUNINGAN,29248,PANCALANG,6370,5577,11947
26141,JAWA BARAT,28960,KUNINGAN,29317,KARANG KANCANA,4947,4503,9450
26141,JAWA BARAT,28960,KUNINGAN,29301,KALIMANGGIS,5271,5278,10549
26141,JAWA BARAT,28960,KUNINGAN,29005,CIBINGBIN,9633,8669,18302
26141,JAWA BARAT,28960,KUNINGAN,29228,NUSAHERANG,4992,5644,10636
26141,JAWA BARAT,28960,KUNINGAN,28974,CINIRU,6094,3681,9775
26141,JAWA BARAT,28960,KUNINGAN,29186,DARMA,14967,9838,24805
26141,JAWA BARAT,28960,KUNINGAN,29171,KRAMATMULYA,11438,10574,22012
26141,JAWA BARAT,28960,KUNINGAN,29262,JAPARA,4781,5740,10521
26141,JAWA BARAT,28960,KUNINGAN,28984,SUBANG,7343,1763,9106
26141,JAWA BARAT,28960,KUNINGAN,29217,PASAWAHAN,5991,6443,12434
26141,JAWA BARAT,28960,KUNINGAN,29284,CILEBAK,3887,2589,6476
26141,JAWA BARAT,28960,KUNINGAN,29308,CIBEUREUM,4879,5551,10430
26141,JAWA BARAT,28960,KUNINGAN,29150,MANDIRANCAN,7015,5121,12136
26141,JAWA BARAT,29369,CIREBON,29370,WALED,7538,15533,23071
26141,JAWA BARAT,28960,KUNINGAN,29047,GARAWANGI,11905,8335,20240
26141,JAWA BARAT,28960,KUNINGAN,29344,SINDANG AGUNG,9800,8197,17997
26141,JAWA BARAT,28960,KUNINGAN,29136,CILIMUS,14394,11998,26392
26141,JAWA BARAT,28960,KUNINGAN,29327,MALEBER,13430,6444,19874
26141,JAWA BARAT,28960,KUNINGAN,28992,CIWARU,8230,6220,14450
26141,JAWA BARAT,28960,KUNINGAN,29033,LEBAKWANGI,10753,10202,20955
26141,JAWA BARAT,28960,KUNINGAN,29016,LURAGUNG,13046,9025,22071
26141,JAWA BARAT,29369,CIREBON,29712,KALIWEDI,8168,9979,18147
26141,JAWA BARAT,28960,KUNINGAN,29065,KUNINGAN,35885,21691,57576
26141,JAWA BARAT,28960,KUNINGAN,29163,SELAJAMBE,4323,3705,8028
26141,JAWA BARAT,28960,KUNINGAN,29082,CIAWIGEBANG,22506,17356,39862
26141,JAWA BARAT,29369,CIREBON,29722,GEBANG,8678,22672,31350
26141,JAWA BARAT,29369,CIREBON,29633,KAPETAKAN,10745,16487,27232
26141,JAWA BARAT,29369,CIREBON,29684,SUSUKAN,11369,20285,31654
26141,JAWA BARAT,28960,KUNINGAN,29120,JALAKSANA,11950,13142,25092
26141,JAWA BARAT,29369,CIREBON,29697,GEGESIK,15500,18798,34298
26141,JAWA BARAT,29369,CIREBON,29653,ARJAWINANGUN,14579,19608,34187
26141,JAWA BARAT,28960,KUNINGAN,29107,CIDAHU,10327,9357,19684
26141,JAWA BARAT,28960,KUNINGAN,29357,CIGANDAMEKAR,8070,7560,15630
26141,JAWA BARAT,29369,CIREBON,29643,KLANGENAN,8728,16123,24851
26141,JAWA BARAT,29369,CIREBON,29675,CIWARINGIN,7755,11197,18952
26141,JAWA BARAT,29369,CIREBON,29457,SUSUKAN LEBAK,5487,12611,18098
26141,JAWA BARAT,29369,CIREBON,29665,PANGURAGAN,9007,10494,19501
26141,JAWA BARAT,29369,CIREBON,29608,KEDAWUNG,14586,18019,32605
26141,JAWA BARAT,29369,CIREBON,29804,GREGED,8598,11674,20272
26141,JAWA BARAT,29369,CIREBON,29443,LEMAHABANG,10776,14888,25664
26141,JAWA BARAT,29369,CIREBON,29471,SEDONG,5959,11819,17778
26141,JAWA BARAT,29369,CIREBON,29795,GEMPOL,8811,14151,22962
26141,JAWA BARAT,29369,CIREBON,29736,DEPOK,11732,20515,32247
26141,JAWA BARAT,29369,CIREBON,29617,GUNUNG JATI,20705,23481,44186
